accidents,killed,injured,voilation,year,state
26163.0,6768.0,15289.5,1,2017,0
31.0,17.0,20.0,1,2017,1
5669.0,1721.0,1352.531429,1,2017,2
5669.0,3716.0,1352.531429,1,2017,3
5669.0,2592.0,15289.5,1,2017,4
5669.0,316.0,1352.531429,1,2017,5
26163.0,5948.0,15289.5,1,2017,6
5669.0,1962.0,15289.5,1,2017,7
628.0,256.0,1352.531429,1,2017,8
5669.0,531.0,1352.531429,1,2017,9
1692.716981,1800.0,1352.531429,1,2017,10
26163.0,9584.0,15289.5,1,2017,11
26163.0,3679.0,15289.5,1,2017,12
26163.0,7846.0,15289.5,1,2017,13
26163.0,8819.0,15289.5,1,2017,14
156.0,42.0,280.0,1,2017,15
65.0,17.0,33.0,1,2017,16
16.0,12.0,8.0,1,2017,17
170.0,15.0,124.0,1,2017,18
5669.0,2612.0,15289.5,1,2017,19
5669.0,2363.0,1352.531429,1,2017,20
26163.0,8247.0,15289.5,1,2017,21
79.0,48.0,192.0,1,2017,22
26163.0,12570.0,15289.5,1,2017,23
26163.0,6082.0,15289.5,1,2017,24
432.0,132.0,1352.531429,1,2017,25
1692.716981,692.0,1352.531429,1,2017,26
26163.0,7446.0,15289.5,1,2017,27
5669.0,1882.0,1352.531429,1,2017,28
133.0,15.0,208.0,1,2017,29
325.0,102.0,291.0,1,2017,30
43.0,25.0,26.0,1,2017,31
61.0,30.0,48.0,1,2017,32
1692.716981,651.0,1352.531429,1,2017,33
0.0,0.0,0.0,1,2017,34
654.0,75.0,1352.531429,1,2017,35
1692.716981,156.0,1352.531429,2,2017,0
19.0,13.0,21.0,2,2017,1
373.0,142.0,1352.531429,2,2017,2
0.0,0.0,0.0,2,2017,3
86.0,17.0,119.0,2,2017,4
10.0,0.0,7.0,2,2017,5
65.0,18.0,91.0,2,2017,6
180.0,86.0,168.0,2,2017,7
214.0,89.0,1352.531429,2,2017,8
1.0,0.0,1.0,2,2017,9
801.0,430.0,1352.531429,2,2017,10
169.0,23.0,212.0,2,2017,11
133.0,7.0,178.0,2,2017,12
1049.0,217.0,1352.531429,2,2017,13
863.0,293.0,1352.531429,2,2017,14
44.0,9.0,71.0,2,2017,15
132.0,89.0,53.0,2,2017,16
16.0,13.0,21.0,2,2017,17
157.0,3.0,120.0,2,2017,18
1692.716981,735.0,1352.531429,2,2017,19
129.0,95.0,70.0,2,2017,20
421.0,142.0,1352.531429,2,2017,21
32.0,5.0,44.0,2,2017,22
1692.716981,403.0,1352.531429,2,2017,23
163.0,34.0,118.0,2,2017,24
11.0,2.0,17.0,2,2017,25
56.0,30.0,36.0,2,2017,26
5669.0,1687.0,1352.531429,2,2017,27
16.0,2.0,13.0,2,2017,28
13.0,2.0,12.0,2,2017,29
10.0,3.0,3.0,2,2017,30
1.0,4.0,5.0,2,2017,31
12.0,3.0,17.0,2,2017,32
124.0,24.0,126.0,2,2017,33
0.0,0.0,0.0,2,2017,34
5.0,0.0,9.0,2,2017,35
1692.716981,315.0,1352.531429,3,2017,0
41.0,16.0,70.0,3,2017,1
579.0,212.0,1352.531429,3,2017,2
1692.716981,752.0,1352.531429,3,2017,3
1692.716981,332.0,1352.531429,3,2017,4
88.0,10.0,38.0,3,2017,5
951.0,377.0,1352.531429,3,2017,6
432.0,185.0,1352.531429,3,2017,7
1692.716981,688.0,1352.531429,3,2017,8
65.0,11.0,71.0,3,2017,9
379.0,218.0,301.0,3,2017,10
1692.716981,207.0,1352.531429,3,2017,11
1692.716981,109.0,1352.531429,3,2017,12
5669.0,610.0,1352.531429,3,2017,13
1692.716981,657.0,1352.531429,3,2017,14
56.0,5.0,89.0,3,2017,15
151.0,32.0,89.0,3,2017,16
3.0,2.0,2.0,3,2017,17
36.0,2.0,8.0,3,2017,18
842.0,368.0,1352.531429,3,2017,19
602.0,387.0,1352.531429,3,2017,20
1692.716981,474.0,1352.531429,3,2017,21
11.0,3.0,26.0,3,2017,22
5669.0,656.0,1352.531429,3,2017,23
263.0,67.0,305.0,3,2017,24
47.0,20.0,50.0,3,2017,25
109.0,43.0,98.0,3,2017,26
5669.0,2562.0,1352.531429,3,2017,27
278.0,121.0,317.0,3,2017,28
18.0,1.0,19.0,3,2017,29
2.0,1.0,4.0,3,2017,30
3.0,1.0,2.0,3,2017,31
4.0,2.0,2.0,3,2017,32
308.0,51.0,301.0,3,2017,33
0.0,0.0,0.0,3,2017,34
140.0,30.0,154.0,3,2017,35
194.0,104.0,195.0,4,2017,0
0.0,0.0,0.0,4,2017,1
98.0,27.0,78.0,4,2017,2
318.0,184.0,139.0,4,2017,3
372.0,60.0,1352.531429,4,2017,4
4.0,0.0,1.0,4,2017,5
46.0,21.0,45.0,4,2017,6
147.0,53.0,134.0,4,2017,7
0.0,0.0,0.0,4,2017,8
0.0,0.0,0.0,4,2017,9
169.0,120.0,101.0,4,2017,10
105.0,11.0,124.0,4,2017,11
406.0,23.0,1352.531429,4,2017,12
277.0,62.0,264.0,4,2017,13
119.0,40.0,95.0,4,2017,14
0.0,0.0,0.0,4,2017,15
104.0,7.0,63.0,4,2017,16
0.0,0.0,0.0,4,2017,17
0.0,0.0,0.0,4,2017,18
174.0,62.0,144.0,4,2017,19
84.0,67.0,97.0,4,2017,20
15.0,3.0,9.0,4,2017,21
0.0,0.0,0.0,4,2017,22
1692.716981,405.0,1352.531429,4,2017,23
0.0,0.0,0.0,4,2017,24
0.0,0.0,0.0,4,2017,25
14.0,4.0,15.0,4,2017,26
912.0,444.0,1352.531429,4,2017,27
122.0,68.0,128.0,4,2017,28
0.0,0.0,0.0,4,2017,29
4.0,1.0,3.0,4,2017,30
0.0,0.0,0.0,4,2017,31
0.0,0.0,0.0,4,2017,32
255.0,60.0,250.0,4,2017,33
0.0,0.0,0.0,4,2017,34
4.0,0.0,3.0,4,2017,35
108.0,51.0,109.0,5,2017,0
0.0,0.0,0.0,5,2017,1
200.0,74.0,199.0,5,2017,2
408.0,217.0,254.0,5,2017,3
127.0,28.0,203.0,5,2017,4
0.0,0.0,0.0,5,2017,5
169.0,59.0,155.0,5,2017,6
89.0,40.0,90.0,5,2017,7
19.0,8.0,41.0,5,2017,8
1.0,0.0,0.0,5,2017,9
226.0,77.0,180.0,5,2017,10
97.0,31.0,206.0,5,2017,11
1.0,0.0,1.0,5,2017,12
717.0,114.0,1352.531429,5,2017,13
745.0,282.0,1352.531429,5,2017,14
53.0,6.0,86.0,5,2017,15
99.0,21.0,42.0,5,2017,16
0.0,0.0,0.0,5,2017,17
23.0,0.0,0.0,5,2017,18
691.0,257.0,1352.531429,5,2017,19
86.0,52.0,93.0,5,2017,20
24.0,6.0,28.0,5,2017,21
1.0,1.0,1.0,5,2017,22
1692.716981,242.0,1352.531429,5,2017,23
85.0,35.0,85.0,5,2017,24
0.0,0.0,0.0,5,2017,25
41.0,22.0,39.0,5,2017,26
5669.0,1512.0,1352.531429,5,2017,27
67.0,33.0,62.0,5,2017,28
0.0,0.0,0.0,5,2017,29
1.0,0.0,1.0,5,2017,30
0.0,0.0,0.0,5,2017,31
1.0,1.0,1.0,5,2017,32
39.0,3.0,40.0,5,2017,33
0.0,0.0,0.0,5,2017,34
0.0,0.0,0.0,5,2017,35
26163.0,6196.0,15289.5,1,2018,0
135.0,79.0,122.0,1,2018,1
1692.716981,995.0,1352.531429,1,2018,2
5669.0,5809.0,15289.5,1,2018,3
5669.0,4270.0,15289.5,1,2018,4
1692.716981,216.0,1352.531429,1,2018,5
26163.0,6988.0,15289.5,1,2018,6
5669.0,2657.0,15289.5,1,2018,7
1692.716981,536.0,1352.531429,1,2018,8
5669.0,971.0,15289.5,1,2018,9
5669.0,2052.0,1352.531429,1,2018,10
26163.0,8714.0,15289.5,1,2018,11
26163.0,2985.0,15289.5,1,2018,12
26163.0,8635.0,15289.5,1,2018,13
5669.0,3926.0,15289.5,1,2018,14
90.0,21.0,159.0,1,2018,15
64.0,43.0,20.0,1,2018,16
18.0,14.0,11.0,1,2018,17
199.0,15.0,135.0,1,2018,18
5669.0,3644.0,15289.5,1,2018,19
5669.0,2540.0,1352.531429,1,2018,20
26163.0,9618.0,15289.5,1,2018,21
71.0,33.0,44.0,1,2018,22
26163.0,9224.0,15289.5,1,2018,23
26163.0,6212.0,15289.5,1,2018,24
426.0,163.0,1352.531429,1,2018,25
900.0,569.0,1352.531429,1,2018,26
5669.0,7098.0,15289.5,1,2018,27
5669.0,2326.0,15289.5,1,2018,28
148.0,7.0,186.0,1,2018,29
280.0,93.0,267.0,1,2018,30
78.0,51.0,65.0,1,2018,31
57.0,29.0,68.0,1,2018,32
1692.716981,748.0,1352.531429,1,2018,33
1.0,1.0,1.0,1,2018,34
734.0,110.0,1352.531429,1,2018,35
1692.716981,85.0,187.0,2,2018,0
55.0,41.0,83.0,2,2018,1
377.0,130.0,1352.531429,2,2018,2
10.0,3.0,18.0,2,2018,3
216.0,55.0,179.0,2,2018,4
9.0,4.0,2.0,2,2018,5
106.0,15.0,118.0,2,2018,6
474.0,251.0,1352.531429,2,2018,7
322.0,70.0,1352.531429,2,2018,8
20.0,5.0,27.0,2,2018,9
517.0,328.0,321.0,2,2018,10
139.0,22.0,164.0,2,2018,11
157.0,25.0,169.0,2,2018,12
893.0,145.0,1352.531429,2,2018,13
188.0,42.0,197.0,2,2018,14
74.0,17.0,115.0,2,2018,15
117.0,66.0,49.0,2,2018,16
16.0,13.0,15.0,2,2018,17
83.0,0.0,61.0,2,2018,18
1692.716981,555.0,1352.531429,2,2018,19
112.0,85.0,62.0,2,2018,20
146.0,52.0,129.0,2,2018,21
2.0,2.0,0.0,2,2018,22
1692.716981,225.0,1352.531429,2,2018,23
182.0,24.0,194.0,2,2018,24
28.0,8.0,47.0,2,2018,25
20.0,16.0,42.0,2,2018,26
5669.0,1824.0,1352.531429,2,2018,27
79.0,6.0,60.0,2,2018,28
20.0,0.0,19.0,2,2018,29
12.0,0.0,7.0,2,2018,30
1.0,0.0,0.0,2,2018,31
8.0,0.0,16.0,2,2018,32
333.0,72.0,292.0,2,2018,33
0.0,0.0,0.0,2,2018,34
14.0,2.0,22.0,2,2018,35
740.0,192.0,1352.531429,3,2018,0
8.0,6.0,6.0,3,2018,1
1692.716981,482.0,1352.531429,3,2018,2
1692.716981,777.0,1352.531429,3,2018,3
740.0,252.0,1352.531429,3,2018,4
90.0,4.0,44.0,3,2018,5
959.0,352.0,1352.531429,3,2018,6
1055.0,533.0,1352.531429,3,2018,7
270.0,60.0,1352.531429,3,2018,8
13.0,4.0,23.0,3,2018,9
401.0,299.0,269.0,3,2018,10
1692.716981,262.0,1352.531429,3,2018,11
1692.716981,115.0,1352.531429,3,2018,12
5669.0,617.0,1352.531429,3,2018,13
1692.716981,384.0,1352.531429,3,2018,14
24.0,6.0,67.0,3,2018,15
49.0,11.0,33.0,3,2018,16
5.0,3.0,10.0,3,2018,17
72.0,8.0,55.0,3,2018,18
1002.0,374.0,1352.531429,3,2018,19
1055.0,759.0,1352.531429,3,2018,20
196.0,72.0,172.0,3,2018,21
12.0,4.0,11.0,3,2018,22
1692.716981,527.0,1352.531429,3,2018,23
200.0,32.0,206.0,3,2018,24
48.0,18.0,81.0,3,2018,25
173.0,105.0,167.0,3,2018,26
5669.0,2253.0,1352.531429,3,2018,27
194.0,101.0,233.0,3,2018,28
16.0,1.0,11.0,3,2018,29
1.0,0.0,3.0,3,2018,30
1.0,3.0,1.0,3,2018,31
11.0,6.0,10.0,3,2018,32
460.0,69.0,1352.531429,3,2018,33
2.0,0.0,2.0,3,2018,34
435.0,73.0,116.0,3,2018,35
48.0,1.0,49.0,4,2018,0
0.0,0.0,0.0,4,2018,1
159.0,62.0,149.0,4,2018,2
130.0,79.0,99.0,4,2018,3
37.0,3.0,28.0,4,2018,4
1.0,0.0,2.0,4,2018,5
181.0,53.0,192.0,4,2018,6
512.0,218.0,1352.531429,4,2018,7
0.0,0.0,0.0,4,2018,8
26.0,4.0,44.0,4,2018,9
47.0,31.0,34.0,4,2018,10
69.0,4.0,61.0,4,2018,11
105.0,8.0,113.0,4,2018,12
99.0,8.0,78.0,4,2018,13
98.0,16.0,94.0,4,2018,14
10.0,2.0,21.0,4,2018,15
8.0,6.0,3.0,4,2018,16
0.0,0.0,0.0,4,2018,17
0.0,0.0,0.0,4,2018,18
218.0,88.0,187.0,4,2018,19
240.0,161.0,117.0,4,2018,20
12.0,6.0,11.0,4,2018,21
0.0,0.0,0.0,4,2018,22
939.0,290.0,1352.531429,4,2018,23
54.0,10.0,49.0,4,2018,24
0.0,0.0,0.0,4,2018,25
2.0,1.0,11.0,4,2018,26
679.0,284.0,1352.531429,4,2018,27
53.0,26.0,43.0,4,2018,28
0.0,0.0,0.0,4,2018,29
10.0,1.0,13.0,4,2018,30
0.0,0.0,0.0,4,2018,31
0.0,0.0,0.0,4,2018,32
658.0,176.0,1352.531429,4,2018,33
0.0,0.0,0.0,4,2018,34
46.0,7.0,18.0,4,2018,35
82.0,7.0,70.0,5,2018,0
51.0,32.0,64.0,5,2018,1
112.0,22.0,108.0,5,2018,2
103.0,61.0,95.0,5,2018,3
58.0,12.0,64.0,5,2018,4
0.0,0.0,0.0,5,2018,5
460.0,187.0,1352.531429,5,2018,6
474.0,269.0,1352.531429,5,2018,7
0.0,0.0,0.0,5,2018,8
4.0,0.0,8.0,5,2018,9
310.0,206.0,130.0,5,2018,10
173.0,44.0,125.0,5,2018,11
26.0,4.0,24.0,5,2018,12
465.0,61.0,1352.531429,5,2018,13
187.0,55.0,216.0,5,2018,14
29.0,2.0,45.0,5,2018,15
14.0,8.0,5.0,5,2018,16
0.0,0.0,0.0,5,2018,17
0.0,0.0,0.0,5,2018,18
611.0,260.0,1352.531429,5,2018,19
252.0,158.0,134.0,5,2018,20
39.0,18.0,67.0,5,2018,21
4.0,3.0,3.0,5,2018,22
1692.716981,252.0,1352.531429,5,2018,23
17.0,3.0,26.0,5,2018,24
0.0,0.0,0.0,5,2018,25
0.0,0.0,0.0,5,2018,26
5669.0,1956.0,1352.531429,5,2018,27
19.0,50.0,26.0,5,2018,28
0.0,0.0,0.0,5,2018,36
