States/UTs,Number of Accidents,Persons Killed,People Injured,Impacting Vehicle Type,Year,
Andhra Pradesh,9409,2343,7712,Two Wheeler,2017,
Arunachal Pradesh,62,32,67,Two Wheeler,2017,
Assam,2125,772,1567,Two Wheeler,2017,
Bihar,2035,1318,1219,Two Wheeler,2017,
Chhattisgarh,4696,1386,4012,Two Wheeler,2017,
Goa,1567,164,1036,Two Wheeler,2017,
Gujarat,6086,2190,5138,Two Wheeler,2017,
Haryana,2528,1006,2291,Two Wheeler,2017,
Himachal Pradesh,815,336,1531,Two Wheeler,2017,
Jammu & Kashmir,1093,142,1158,Two Wheeler,2017,
Jharkhand,1718,1065,1139,Two Wheeler,2017,
Karnataka,15752,4029,17831,Two Wheeler,2017,
Kerala,14821,1371,15305,Two Wheeler,2017,
Madhya Pradesh,21458,3035,22262,Two Wheeler,2017,
Maharashtra,11869,4114,10235,Two Wheeler,2017,
Manipur,141,15,223,Two Wheeler,2017,
Meghalaya,117,30,55,Two Wheeler,2017,
Mizoram,10,11,8,Two Wheeler,2017,
Nagaland,128,11,82,Two Wheeler,2017,
Odisha,3886,1744,3379,Two Wheeler,2017,
Punjab,2375,1666,1352,Two Wheeler,2017,
Rajasthan,5456,2146,4997,Two Wheeler,2017,
Sikkim,24,10,29,Two Wheeler,2017,
Tamil Nadu,25393,5322,26235,Two Wheeler,2017,
Telangana,7160,2244,7119,Two Wheeler,2017,
Tripura,144,36,143,Two Wheeler,2017,
Uttarakhand,409,219,322,Two Wheeler,2017,
Uttar Pradesh,11329,5805,7662,Two Wheeler,2017,
West Bengal,2346,1067,1874,Two Wheeler,2017,
Andaman & Nicobar Islands,84,7,95,Two Wheeler,2017,
Chandigarh,41,14,35,Two Wheeler,2017,
Dadra & Nagar Haveli,15,10,9,Two Wheeler,2017,
Daman & Diu,33,17,33,Two Wheeler,2017,
Delhi,1700,311,1777,Two Wheeler,2017,
Lakshadweep,0,0,0,Two Wheeler,2017,
Puducherry,898,104,975,Two Wheeler,2017,
Andhra Pradesh,3583,817,5287,Auto rickshaw,2017,
Arunachal Pradesh,21,9,37,Auto rickshaw,2017,
Assam,480,149,530,Auto rickshaw,2017,
Bihar,631,372,553,Auto rickshaw,2017,
Chhattisgarh,434,52,392,Auto rickshaw,2017,
Goa,5,0,1,Auto rickshaw,2017,
Gujarat,1685,498,1548,Auto rickshaw,2017,
Haryana,342,113,402,Auto rickshaw,2017,
Himachal Pradesh,15,7,36,Auto rickshaw,2017,
Jammu & Kashmir,80,6,122,Auto rickshaw,2017,
Jharkhand,377,180,381,Auto rickshaw,2017,
Karnataka,2415,481,3699,Auto rickshaw,2017,
Kerala,4402,303,5074,Auto rickshaw,2017,
Madhya Pradesh,2707,247,3224,Auto rickshaw,2017,
Maharashtra,2331,672,2373,Auto rickshaw,2017,
Manipur,36,3,90,Auto rickshaw,2017,
Meghalaya,50,17,25,Auto rickshaw,2017,
Mizoram,1,1,0,Auto rickshaw,2017,
Nagaland,67,1,73,Auto rickshaw,2017,
Odisha,562,187,882,Auto rickshaw,2017,
Punjab,207,150,269,Auto rickshaw,2017,
Rajasthan,402,182,572,Auto rickshaw,2017,
Sikkim,84,50,0,Auto rickshaw,2017,
Tamil Nadu,3000,478,3799,Auto rickshaw,2017,
Telangana,2263,514,3426,Auto rickshaw,2017,
Tripura,66,14,75,Auto rickshaw,2017,
Uttarakhand,56,21,75,Auto rickshaw,2017,
Uttar Pradesh,2301,1080,1945,Auto rickshaw,2017,
West Bengal,280,96,294,Auto rickshaw,2017,
Andaman & Nicobar Islands,8,0,15,Auto rickshaw,2017,
Chandigarh,23,7,20,Auto rickshaw,2017,
Dadra & Nagar Haveli,3,3,12,Auto rickshaw,2017,
Daman & Diu,2,1,3,Auto rickshaw,2017,
Delhi,361,50,393,Auto rickshaw,2017,
Lakshadweep,0,0,0,Auto rickshaw,2017,
Puducherry,71,1,55,Auto rickshaw,2017,
Andhra Pradesh,4531,1258,5712,Car/Jeep/Taxi,2017,
Arunachal Pradesh,46,23,82,Car/Jeep/Taxi,2017,
Assam,1864,656,1583,Car/Jeep/Taxi,2017,
Bihar,1381,831,1078,Car/Jeep/Taxi,2017,
Chhattisgarh,2534,563,2632,Car/Jeep/Taxi,2017,
Goa,1474,82,557,Car/Jeep/Taxi,2017,
Gujarat,4963,1713,4385,Car/Jeep/Taxi,2017,
Haryana,3265,1310,3136,Car/Jeep/Taxi,2017,
Himachal Pradesh,1469,519,2342,Car/Jeep/Taxi,2017,
Jammu & Kashmir,1462,226,1962,Car/Jeep/Taxi,2017,
Jharkhand,618,383,507,Car/Jeep/Taxi,2017,
Karnataka,10286,2120,13107,Car/Jeep/Taxi,2017,
Kerala,11298,1001,13380,Car/Jeep/Taxi,2017,
Madhya Pradesh,11557,2143,12620,Car/Jeep/Taxi,2017,
Maharashtra,7470,1928,7418,Car/Jeep/Taxi,2017,
Manipur,244,39,450,Car/Jeep/Taxi,2017,
Meghalaya,220,52,97,Car/Jeep/Taxi,2017,
Mizoram,24,20,35,Car/Jeep/Taxi,2017,
Nagaland,157,7,107,Car/Jeep/Taxi,2017,
Odisha,2161,919,2339,Car/Jeep/Taxi,2017,
Punjab,1533,1084,1131,Car/Jeep/Taxi,2017,
Rajasthan,7206,3199,7397,Car/Jeep/Taxi,2017,
Sikkim,49,3,355,Car/Jeep/Taxi,2017,
Tamil Nadu,18748,3994,23492,Car/Jeep/Taxi,2017,
Telangana,5455,998,5928,Car/Jeep/Taxi,2017,
Tripura,150,59,265,Car/Jeep/Taxi,2017,
Uttarakhand,548,350,647,Car/Jeep/Taxi,2017,
Uttar Pradesh,7835,4115,5249,Car/Jeep/Taxi,2017,
West Bengal,2705,1111,2576,Car/Jeep/Taxi,2017,
Andaman & Nicobar Islands,51,7,62,Car/Jeep/Taxi,2017,
Chandigarh,213,59,190,Car/Jeep/Taxi,2017,
Dadra & Nagar Haveli,10,5,17,Car/Jeep/Taxi,2017,
Daman & Diu,27,7,28,Car/Jeep/Taxi,2017,
Delhi,1921,373,2036,Car/Jeep/Taxi,2017,
Lakshadweep,0,0,0,Car/Jeep/Taxi,2017,
Puducherry,262,26,254,Car/Jeep/Taxi,2017,
Andhra Pradesh,1546,597,2078,Bus,2017,
Arunachal Pradesh,14,6,30,Bus,2017,
Assam,598,244,854,Bus,2017,
Bihar,998,592,890,Bus,2017,
Chhattisgarh,666,188,873,Bus,2017,
Goa,419,27,191,Bus,2017,
Gujarat,825,293,976,Bus,2017,
Haryana,503,270,523,Bus,2017,
Himachal Pradesh,175,136,799,Bus,2017,
Jammu & Kashmir,389,95,1068,Bus,2017,
Jharkhand,223,146,323,Bus,2017,
Karnataka,3239,801,5423,Bus,2017,
Kerala,3766,608,4423,Bus,2017,
Madhya Pradesh,2908,591,4681,Bus,2017,
Maharashtra,1869,628,2633,Bus,2017,
Manipur,11,18,61,Bus,2017,
Meghalaya,72,12,57,Bus,2017,
Mizoram,5,5,0,Bus,2017,
Nagaland,66,2,34,Bus,2017,
Odisha,431,184,681,Bus,2017,
Punjab,415,242,414,Bus,2017,
Rajasthan,1534,773,2230,Bus,2017,
Sikkim,24,11,39,Bus,2017,
Tamil Nadu,6034,1856,8967,Bus,2017,
Telangana,1209,337,1409,Bus,2017,
Tripura,15,10,41,Bus,2017,
Uttarakhand,129,82,208,Bus,2017,
Uttar Pradesh,2577,1406,2194,Bus,2017,
West Bengal,948,347,1685,Bus,2017,
Andaman & Nicobar Islands,19,0,67,Bus,2017,
Chandigarh,18,9,16,Bus,2017,
Dadra & Nagar Haveli,2,2,0,Bus,2017,
Daman & Diu,1,1,0,Bus,2017,
Delhi,364,106,332,Bus,2017,
Lakshadweep,0,0,0,Bus,2017,
Puducherry,133,26,130,Bus,2017,
Andhra Pradesh,5360,2340,5671,Truck/Lorry/Tractor,2017,
Arunachal Pradesh,29,12,33,Truck/Lorry/Tractor,2017,
Assam,1522,677,1113,Truck/Lorry/Tractor,2017,
Bihar,2727,1756,1743,Truck/Lorry/Tractor,2017,
Chhattisgarh,3244,1119,2658,Truck/Lorry/Tractor,2017,
Goa,427,50,125,Truck/Lorry/Tractor,2017,
Gujarat,4092,1815,3620,Truck/Lorry/Tractor,2017,
Haryana,3126,1574,2891,Truck/Lorry/Tractor,2017,
Himachal Pradesh,529,152,610,Truck/Lorry/Tractor,2017,
Jammu & Kashmir,975,182,1089,Truck/Lorry/Tractor,2017,
Jharkhand,1220,802,711,Truck/Lorry/Tractor,2017,
Karnataka,8536,2448,10574,Truck/Lorry/Tractor,2017,
Kerala,4183,848,4489,Truck/Lorry/Tractor,2017,
Madhya Pradesh,11065,3408,11097,Truck/Lorry/Tractor,2017,
Maharashtra,8405,3394,6482,Truck/Lorry/Tractor,2017,
Manipur,114,41,118,Truck/Lorry/Tractor,2017,
Meghalaya,145,53,69,Truck/Lorry/Tractor,2017,
Mizoram,28,23,12,Truck/Lorry/Tractor,2017,
Nagaland,109,16,78,Truck/Lorry/Tractor,2017,
Odisha,2915,1339,3029,Truck/Lorry/Tractor,2017,
Punjab,1286,964,865,Truck/Lorry/Tractor,2017,
Rajasthan,5493,3003,5215,Truck/Lorry/Tractor,2017,
Sikkim,10,0,50,Truck/Lorry/Tractor,2017,
Tamil Nadu,9988,3402,10732,Truck/Lorry/Tractor,2017,
Telangana,4006,1477,4045,Truck/Lorry/Tractor,2017,
Tripura,97,30,137,Truck/Lorry/Tractor,2017,
Uttarakhand,289,182,262,Truck/Lorry/Tractor,2017,
Uttar Pradesh,8588,4591,6311,Truck/Lorry/Tractor,2017,
West Bengal,3153,1445,2545,Truck/Lorry/Tractor,2017,
Andaman & Nicobar Islands,27,7,24,Truck/Lorry/Tractor,2017,
Chandigarh,34,12,32,Truck/Lorry/Tractor,2017,
Dadra & Nagar Haveli,24,14,14,Truck/Lorry/Tractor,2017,
Daman & Diu,13,7,5,Truck/Lorry/Tractor,2017,
Delhi,902,293,836,Truck/Lorry/Tractor,2017,
Lakshadweep,0,0,0,Truck/Lorry/Tractor,2017,
Puducherry,157,29,168,Truck/Lorry/Tractor,2017,
Andhra Pradesh,63,19,61,Bicycle,2017,
Arunachal Pradesh,0,0,0,Bicycle,2017,
Assam,176,121,131,Bicycle,2017,
Bihar,226,117,114,Bicycle,2017,
Chhattisgarh,80,36,50,Bicycle,2017,
Goa,3,0,2,Bicycle,2017,
Gujarat,218,94,182,Bicycle,2017,
Haryana,131,55,109,Bicycle,2017,
Himachal Pradesh,0,0,0,Bicycle,2017,
Jammu & Kashmir,27,4,36,Bicycle,2017,
Jharkhand,150,64,68,Bicycle,2017,
Karnataka,42,13,46,Bicycle,2017,
Kerala,0,0,0,Bicycle,2017,
Madhya Pradesh,149,17,241,Bicycle,2017,
Maharashtra,259,90,187,Bicycle,2017,
Manipur,0,0,0,Bicycle,2017,
Meghalaya,14,9,5,Bicycle,2017,
Mizoram,0,0,0,Bicycle,2017,
Nagaland,0,0,0,Bicycle,2017,
Odisha,135,64,107,Bicycle,2017,
Punjab,265,204,142,Bicycle,2017,
Rajasthan,9,3,6,Bicycle,2017,
Sikkim,0,0,0,Bicycle,2017,
Tamil Nadu,459,152,374,Bicycle,2017,
Telangana,64,21,45,Bicycle,2017,
Tripura,13,1,24,Bicycle,2017,
Uttarakhand,35,14,21,Bicycle,2017,
Uttar Pradesh,1265,562,964,Bicycle,2017,
West Bengal,105,41,72,Bicycle,2017,
Andaman & Nicobar Islands,0,0,0,Bicycle,2017,
Chandigarh,0,0,0,Bicycle,2017,
Dadra & Nagar Haveli,1,1,0,Bicycle,2017,
Daman & Diu,0,0,0,Bicycle,2017,
Delhi,117,31,103,Bicycle,2017,
Lakshadweep,1,0,1,Bicycle,2017,
Puducherry,53,8,50,Bicycle,2017,
Andhra Pradesh,1223,679,943,Others,2017,
Arunachal Pradesh,69,28,67,Others,2017,
Assam,379,149,360,Others,2017,
Bihar,608,437,284,Others,2017,
Chhattisgarh,1897,789,1930,Others,2017,
Goa,22,5,10,Others,2017,
Gujarat,974,594,731,Others,2017,
Haryana,1274,759,881,Others,2017,
Himachal Pradesh,111,53,134,Others,2017,
Jammu & Kashmir,1588,271,1974,Others,2017,
Jharkhand,707,488,625,Others,2017,
Karnataka,2262,716,2271,Others,2017,
Kerala,0,0,0,Others,2017,
Madhya Pradesh,3498,723,3317,Others,2017,
Maharashtra,3490,1376,2664,Others,2017,
Manipur,32,20,85,Others,2017,
Meghalaya,47,2,40,Others,2017,
Mizoram,0,0,0,Others,2017,
Nagaland,4,4,1,Others,2017,
Odisha,752,350,766,Others,2017,
Punjab,0,0,0,Others,2017,
Rajasthan,1997,1125,1645,Others,2017,
Sikkim,5,4,6,Others,2017,
Tamil Nadu,1897,936,929,Others,2017,
Telangana,2309,996,2001,Others,2017,
Tripura,18,11,33,Others,2017,
Uttarakhand,137,74,96,Others,2017,
Uttar Pradesh,4087,2240,2529,Others,2017,
West Bengal,2041,1644,990,Others,2017,
Andaman & Nicobar Islands,0,0,0,Others,2017,
Chandigarh,13,6,9,Others,2017,
Dadra & Nagar Haveli,12,8,8,Others,2017,
Daman & Diu,3,3,1,Others,2017,
Delhi,1185,393,1018,Others,2017,
Lakshadweep,0,0,0,Others,2017,
Puducherry,119,39,107,Others,2017,
Andhra Pradesh,8593,2230,6639,Two Wheeler,2018,
Arunachal Pradesh,66,41,38,Two Wheeler,2018,
Assam,1958,808,1833,Two Wheeler,2018,
Bihar,3720,2717,2313,Two Wheeler,2018,
Chhattisgarh,5396,1608,4842,Two Wheeler,2018,
Goa,1700,120,837,Two Wheeler,2018,
Gujarat,5848,2364,5053,Two Wheeler,2018,
Haryana,2228,770,2039,Two Wheeler,2018,
Himachal Pradesh,783,293,1518,Two Wheeler,2018,
Jammu & Kashmir,1463,193,1691,Two Wheeler,2018,
Jharkhand,2163,1376,1321,Two Wheeler,2018,
Karnataka,16208,4352,18325,Two Wheeler,2018,
Kerala,16518,1643,17411,Two Wheeler,2018,
Madhya Pradesh,19966,3277,20206,Two Wheeler,2018,
Maharashtra,13732,5143,11103,Two Wheeler,2018,
Manipur,156,30,238,Two Wheeler,2018,
Meghalaya,44,31,16,Two Wheeler,2018,
Mizoram,7,8,2,Two Wheeler,2018,
Nagaland,97,6,55,Two Wheeler,2018,
Odisha,4413,2173,3816,Two Wheeler,2018,
Punjab,2135,1581,1044,Two Wheeler,2018,
Rajasthan,5406,2429,4917,Two Wheeler,2018,
Sikkim,20,6,31,Two Wheeler,2018,
Tamil Nadu,26470,3965,28354,Two Wheeler,2018,
Telangana,6845,2126,6427,Two Wheeler,2018,
Tripura,177,78,153,Two Wheeler,2018,
Uttarakhand,472,230,397,Two Wheeler,2018,
Uttar Pradesh,12258,6194,8024,Two Wheeler,2018,
West Bengal,2651,1208,2121,Two Wheeler,2018,
Andaman & Nicobar Islands,112,5,100,Two Wheeler,2018,
Chandigarh,54,22,53,Two Wheeler,2018,
Dadra & Nagar Haveli,26,20,26,Two Wheeler,2018,
Daman & Diu,26,14,29,Two Wheeler,2018,
Delhi,1875,410,1754,Two Wheeler,2018,
Lakshadweep,1,1,1,Two Wheeler,2018,
Puducherry,726,88,858,Two Wheeler,2018,
Andhra Pradesh,2669,633,3772,Auto rickshaw,2018,
Arunachal Pradesh,12,9,22,Auto rickshaw,2018,
Assam,475,131,485,Auto rickshaw,2018,
Bihar,689,387,687,Auto rickshaw,2018,
Chhattisgarh,392,51,357,Auto rickshaw,2018,
Goa,42,4,17,Auto rickshaw,2018,
Gujarat,1516,462,1743,Auto rickshaw,2018,
Haryana,397,139,423,Auto rickshaw,2018,
Himachal Pradesh,19,6,66,Auto rickshaw,2018,
Jammu & Kashmir,79,10,97,Auto rickshaw,2018,
Jharkhand,484,286,407,Auto rickshaw,2018,
Karnataka,2392,516,3943,Auto rickshaw,2018,
Kerala,3359,196,4120,Auto rickshaw,2018,
Madhya Pradesh,2387,234,2925,Auto rickshaw,2018,
Maharashtra,2332,613,2409,Auto rickshaw,2018,
Manipur,36,6,99,Auto rickshaw,2018,
Meghalaya,8,5,4,Auto rickshaw,2018,
Mizoram,3,3,2,Auto rickshaw,2018,
Nagaland,92,7,65,Auto rickshaw,2018,
Odisha,652,225,1103,Auto rickshaw,2018,
Punjab,294,208,223,Auto rickshaw,2018,
Rajasthan,371,100,388,Auto rickshaw,2018,
Sikkim,0,0,0,Auto rickshaw,2018,
Tamil Nadu,2797,274,3801,Auto rickshaw,2018,
Telangana,2080,490,3005,Auto rickshaw,2018,
Tripura,59,25,90,Auto rickshaw,2018,
Uttarakhand,33,17,52,Auto rickshaw,2018,
Uttar Pradesh,2964,1398,2342,Auto rickshaw,2018,
West Bengal,370,124,386,Auto rickshaw,2018,
Andaman & Nicobar Islands,15,1,18,Auto rickshaw,2018,
Chandigarh,13,6,9,Auto rickshaw,2018,
Dadra & Nagar Haveli,2,2,0,Auto rickshaw,2018,
Daman & Diu,2,2,2,Auto rickshaw,2018,
Delhi,286,47,306,Auto rickshaw,2018,
Lakshadweep,0,0,0,Auto rickshaw,2018,
Puducherry,64,7,89,Auto rickshaw,2018,
Andhra Pradesh,5073,1179,5124,Car/Jeep/Taxi,2018,
Arunachal Pradesh,53,49,72,Car/Jeep/Taxi,2018,
Assam,1665,594,1567,Car/Jeep/Taxi,2018,
Bihar,1487,1014,978,Car/Jeep/Taxi,2018,
Chhattisgarh,2411,569,2525,Car/Jeep/Taxi,2018,
Goa,1366,78,495,Car/Jeep/Taxi,2018,
Gujarat,5004,1809,5097,Car/Jeep/Taxi,2018,
Haryana,3103,1330,2765,Car/Jeep/Taxi,2018,
Himachal Pradesh,1424,538,2300,Car/Jeep/Taxi,2018,
Jammu & Kashmir,2214,284,3141,Car/Jeep/Taxi,2018,
Jharkhand,715,465,651,Car/Jeep/Taxi,2018,
Karnataka,10227,2096,12968,Car/Jeep/Taxi,2018,
Kerala,12412,1049,15082,Car/Jeep/Taxi,2018,
Madhya Pradesh,10549,2014,11655,Car/Jeep/Taxi,2018,
Maharashtra,7591,2450,7370,Car/Jeep/Taxi,2018,
Manipur,229,36,473,Car/Jeep/Taxi,2018,
Meghalaya,71,36,22,Car/Jeep/Taxi,2018,
Mizoram,18,14,29,Car/Jeep/Taxi,2018,
Nagaland,151,19,152,Car/Jeep/Taxi,2018,
Odisha,1922,791,2236,Car/Jeep/Taxi,2018,
Punjab,1571,1167,762,Car/Jeep/Taxi,2018,
Rajasthan,7265,3027,7265,Car/Jeep/Taxi,2018,
Sikkim,134,73,298,Car/Jeep/Taxi,2018,
Tamil Nadu,17478,3068,22603,Car/Jeep/Taxi,2018,
Telangana,5400,1127,6267,Car/Jeep/Taxi,2018,
Tripura,181,54,293,Car/Jeep/Taxi,2018,
